id,identifier,session_count,language,timezone,game_version,device_os,device_type,device_model,ad_id,tags,last_active,playtime,amount_spent,created_at,invalid_identifier,badge_count,lat,lon,rooted,ip,country,web_auth,web_p256
ab9265d1-cb79-4e84-bfb7-aa37181e72ef,APA91bH4fo2d3OjJ6FIKMu_mX8b1k3fjYtxNcTl5VKRNqSJ7Io9zvYOkb2NyqiVekrGgUQ5WGk6jJu44z0HK6sx485M9h4lfQSePAGnnfLAbJvh0hH2nWXN-X3JAmNtXFSOma4EOpD96,15,es,-18000,520,6.0,1,DIG-L03,c63d318c-274c-46b9-92ad-41042e59631b,{},2018-07-17 00:22:38.212526,2715,0.00,2018-03-05 14:55:17.131357,t,0,,,f,132.191.1.103,PE,,
a1af46d3-bbf4-41f1-b00b-bb0a9e4e2884,APA91bHvx1EGdHbsGvY3l7Ue0vYnxtcTZ6nj_HrfOrf-0cs2aCCrvzYsIyfCMf9AjJpyOGfSG0mxcgEGtgmHe383soiqSytFOm-Ba_LnmB5PakhpjZWRfbHpUM8AMudjfIWRZfq7iwz4,11,es,-18000,523,8.0.0,1,SM-G950F,4db86570-0993-4803-b64e-62a618a15e2a,{},2018-11-20 19:52:53,146,0.00,2018-05-20 15:58:23.285822,f,0,,,f,2800:bf0:82:100f:ec65:390d:d6bb:de2c,EC,,
a31775ab-260d-4f9b-9aa8-8962d76fd26e,7342afe23ff7fc129e45a1906e510e8057b63679be5bd2ac61d2db016f3bfb47,228,es,-18000,0.5.23,11.4.1,0,"iPhone9,3",49B80842-5DAE-4656-84E1-5CC5ABEBC3D8,{},2018-11-20 14:00:12,14567,0.00,2018-09-03 20:02:32.289844,f,0,,,f,190.239.70.1,PE,,
a6d69986-d108-43fa-bf33-39471eee7737,APA91bGgZ1a6KKgcTE5hkTKrY2kiH8UZ869mVNm_OH9uGcqDjFmdqDFV0iOfNyqzlu6OpknY1TjLIle2pZ5hzjpGEqII_8oDYtJX11fyt2cY5-1CIPs_XMh2FDxhq2RV6yPK8gtSAMqr,5,es,-18000,523,6.0,1,HUAWEI VNS-L23,5c743284-e809-4f47-ac98-8ef575f28c4d,{},2018-10-11 02:37:57,353,0.00,2018-10-01 18:21:53.734871,f,0,,,f,2800:370:6e:4c30:6042:1b74:bf23:b75,EC,,
aea243b0-5405-4630-9bb1-1c5318b7449b,,3,es,-18000,510,4.2.2,1,HUAWEI P6-U06,OptedOut,{},2018-04-20 16:53:06.702716,2626,0.00,2018-04-18 19:53:18.825821,t,0,,,f,190.234.105.169,PE,,
a6dd7b36-2469-4d76-9b30-0abd2f8dc7f9,3b20821a56ed9674f3bf192bec1f2d5522a4bb26606620acb77b758c8e355847,1,es,-18000,0.4.1,11.3,0,"iPhone6,1",3FC786A5-E127-45FE-BB54-C260759E4F09,{},2018-04-24 13:14:06.625164,0,0.00,2018-04-24 13:14:06.618583,t,0,,,f,181.233.197.14,PE,,
ad30b6a3-f63a-4620-a350-85e0bdfab60a,43623adf5a1a671a0f176caa83d2a61a523738a736fae155b9eb6fa283cd50a5,33,es,-18000,0.5.13,11.2.6,0,"iPhone8,1",36047CF1-100C-400D-AE03-875F6158B579,{},2018-11-18 19:34:44,1662,0.00,2018-05-04 00:22:12.041392,f,0,,,f,181.112.8.29,EC,,
a9910af8-7671-409c-a199-c828430f2ca1,APA91bEnO2Iuh8f-20mTNLWk7xSylaefrY-HLA3Jn3F9sqkah5hjKH_JVoK2FjQX9edjbAIDlZf_3bdU2kS0lEFIv_77MolB55HgQeAnBMF3cx3Cps9NDj4G_N7QQNHAlxRgS56oDOFy,3,es,-18000,523,7.0,1,SLA-L03,fe49f42f-09c4-4e61-85f1-fcc4914ed798,{},2018-10-02 18:40:16,224,0.00,2018-09-17 22:43:17.014522,f,0,,,f,187.190.11.146,MX,,
a1291b34-1695-4bfa-a14e-fe52cc94ad23,APA91bHCHN4UiFb4Tpu0bF-9th0zYTgELvyFbfeW3T8Nx-cmumYiX64v1XZOiqXmxNA2SNik8czphjNoblJ3Y7aqDFgBH6sybeih9hxsMgsCh_SLTgKa7WCWkjfwvvaTpO-jY_HldghU,13,es,-18000,520,4.2.2,1,HUAWEI P6-U06,OptedOut,{},2018-07-02 22:35:01.52286,3868,0.00,2018-06-28 17:12:15.769542,t,0,,,f,190.234.105.169,PE,,
aa94ba5b-5a60-46ac-b81c-de2eb2f96182,APA91bGyoKJQ9tBRKLd-DmjkPDeUit0Xq_iXg2OU4mFPh4zBIgGyTStXxyV2ylqaafPnf6CsxzAOCoRbFyWH0sZu16cOXz6TEZtmkJ6AT8Zn7kn2O04jxUu7TCk5tXzubsoVB4-RQVYP,1,en,19800,520,5.1.1,1,vivo Y31L,f949788b-215f-48bd-b6c0-60555e35d72f,{},2018-08-03 03:49:47,1305,0.00,2018-08-03 03:29:19.511891,t,0,,,f,2405:204:386:dc9:56bd:e020:767f:2f94,IN,,
a61fe4fd-68e3-4e55-a807-4f0e3d93e726,APA91bE3ICB3rV6ty0SGOj4UlGqg4nLejbLNSJ4r4oDKZqVxtC5sYHmeJQKEWmbj3M9zPr0npDBxwUZifr870j4L3gfxD9C5ru2lUJxsKTQ8lKlE4tkQozaemtOF3EPjuM3iC5_goE4p,62,es,-18000,520,5.0,1,SM-G900H,e9c7175a-f12e-41c2-973b-1caa7e2c2761,{},2018-10-02 16:06:47,14209,0.00,2018-07-31 17:33:46.638694,f,0,,,t,181.188.201.1,EC,,
